time,symbol,price,signal,action_taken,balance,position,portfolio_value
2026-08-09T11:02:29.879133+00:00,BTC/USD,64916.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T12:04:04.311295+00:00,BTC/USD,64884.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T14:10:54.511906+00:00,BTC/USD,65191.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T15:53:20.170439+00:00,BTC/USD,65178.4,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T17:18:10.596795+00:00,BTC/USD,65175.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T19:21:41.945396+00:00,BTC/USD,65151.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T21:04:52.279595+00:00,BTC/USD,65086.8,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T22:15:10.142369+00:00,BTC/USD,65313.4,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-09T23:53:49.735671+00:00,BTC/USD,64834.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-10T05:10:22.807147+00:00,BTC/USD,65002.6,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-10T10:01:48.660695+00:00,BTC/USD,64923.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-10T14:34:19.066129+00:00,BTC/USD,64737.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-10T17:39:47.280986+00:00,BTC/USD,63877.6,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-10T20:06:11.405841+00:00,BTC/USD,64007.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-10T22:10:18.665212+00:00,BTC/USD,63959.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-10T23:56:16.453280+00:00,BTC/USD,63908.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-11T04:51:24.333458+00:00,BTC/USD,63985.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-11T08:17:11.549810+00:00,BTC/USD,63992.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-11T11:10:40.670473+00:00,BTC/USD,64280.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-11T14:44:50.805405+00:00,BTC/USD,63898.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-11T18:04:17.316935+00:00,BTC/USD,63544.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-11T20:26:18.683824+00:00,BTC/USD,63570.1,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-11T22:27:18.565402+00:00,BTC/USD,63648.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-12T04:30:04.967086+00:00,BTC/USD,63730.8,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-12T08:50:35.059892+00:00,BTC/USD,63749.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-12T11:35:08.393461+00:00,BTC/USD,64124.6,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-12T15:17:18.472170+00:00,BTC/USD,63438.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-12T18:35:50.804188+00:00,BTC/USD,63429.1,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-12T21:25:32.054982+00:00,BTC/USD,63450.1,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-12T23:24:52.227329+00:00,BTC/USD,63341.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-13T05:23:21.735409+00:00,BTC/USD,63887.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-13T09:43:30.907189+00:00,BTC/USD,63620.4,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-13T12:05:06.273474+00:00,BTC/USD,63390.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-13T15:34:24.438143+00:00,BTC/USD,63578.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-13T18:41:44.165581+00:00,BTC/USD,63074.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-13T21:27:26.101154+00:00,BTC/USD,63374.8,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-13T23:26:58.611747+00:00,BTC/USD,63414.8,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T05:20:17.147192+00:00,BTC/USD,63263.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T09:32:12.043216+00:00,BTC/USD,62710.5,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T12:01:11.033864+00:00,BTC/USD,62804.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T15:10:37.738697+00:00,BTC/USD,62619.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T18:09:02.312977+00:00,BTC/USD,62965.5,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T20:03:48.563353+00:00,BTC/USD,62913.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T21:02:55.762366+00:00,BTC/USD,62837.0,SELL,HOLD,1000.0,0.0,1000.0
2026-08-14T21:55:38.306058+00:00,BTC/USD,62818.5,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T22:53:13.717302+00:00,BTC/USD,62821.6,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-14T23:49:44.742365+00:00,BTC/USD,62996.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T03:02:31.510110+00:00,BTC/USD,63056.4,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T04:51:40.532764+00:00,BTC/USD,63078.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T05:55:27.168080+00:00,BTC/USD,63008.2,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T07:18:52.030483+00:00,BTC/USD,63052.8,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T08:02:17.846029+00:00,BTC/USD,63011.6,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T09:03:29.300420+00:00,BTC/USD,62855.8,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T09:55:54.992883+00:00,BTC/USD,62977.7,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T10:49:14.457549+00:00,BTC/USD,62978.3,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T11:39:54.136659+00:00,BTC/USD,62963.9,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T12:00:23.283904+00:00,BTC/USD,62953.0,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T13:41:14.757922+00:00,BTC/USD,62974.7,HOLD,HOLD,1000.0,0.0,1000.0
2026-08-15T14:43:28.713293+00:00,BTC/USD,62976.8,BUY,BUY,0.0,0.01586298446412012,999.0000000000001
